message,prediction
"Mom/Dad, I'm in a tough situation. I lost my phone, and this is my new number. Can you please transfer money to this account: 5678 2109 6543 9087? I really need your assistance right now!",fraud
"Hey, it's your child here. I broke my phone and can't access my funds. Can you transfer some money to this account: 2109 5432 9874 6543? I promise to pay you back as soon as I can. Thanks for understanding!",fraud
"Mom/Dad, I'm locked out of my mobile banking, and I'm in urgent need of money. Can you please send me funds to this account: 4321 8765 1098 2109? I'll explain everything once I get my phone back. Please hurry!",fraud
"Mom/Dad, it's me! My phone got stolen, and I urgently need money for medical expenses. Can you transfer some funds to this account: 7654 1098 4321 5678? Your help means a lot to me!",fraud
"Hi, it's your child here. I lost my phone and got a new one, but I'm stuck without any cash. Can you please send me some money to this account: 5678 4321 1098 7654? I'll be forever grateful!",fraud
"Hey Mom/Dad, it's me! My phone was stolen, and I'm completely stranded. Can you please transfer some money to this account: 1098 6543 5678 2109? I really need your support right now!",fraud
"Mom/Dad, it's your child here. I had an accident, and my phone is broken. Can you urgently send me money to this account: 6543 4321 1098 8765? Your help can make a big difference!",fraud
"Hi, it's me, your child. My phone was stolen, and I'm in a vulnerable situation. Can you please transfer some funds to this account: 2109 7654 4321 1098? Your quick response can save the day!",fraud
"Hey Mom/Dad, it's me! I'm facing an emergency and need money urgently. Can you please send funds to this account: 9874 2109 6543 4321? Your support will be a lifesaver!",fraud
"Hi, it's your child here. My phone broke, and I lost my wallet. Can you transfer some money to this account: 4321 5678 1098 8765? I really need your help right now!",fraud
"Mom/Dad, it's me! My phone was stolen, and I need money for food and accommodation. Can you please send funds to this account: 7654 1098 4321 5678? Your assistance is crucial!",fraud
"Hey, it's your child here. I lost my phone, and I'm in dire need of money. Can you please transfer funds to this account: 1098 6543 4321 2109? Your timely help is appreciated!",fraud
"Mom/Dad, it's your child. I had an accident, and my phone was destroyed. Can you urgently send me money to this account: 2109 8765 5432 6543? Your support means the world to me!",fraud
"Hi, it's me, your child. I misplaced my phone, and I need money for essential expenses. Can you transfer some funds to this account: 4321 6543 2109 9874? Your help will make a huge difference!",fraud
"Hey Mom/Dad, it's me! I lost my phone and can't access my bank. Can you please send me some money to this account: 1098 5678 4321 2109? I really need your assistance right now!",fraud
"Mom/Dad, it's your child here. My phone was stolen, and I need money for transportation. Can you please transfer funds to this account: 5678 2109 1098 6543? Your help is invaluable!",fraud
"Hi, it's your child here. I had a mishap, and my phone is gone. Can you urgently send me money to this account: 8765 4321 1098 2109? Your support is greatly appreciated!",fraud
"Hey, it's me, your child. I lost my phone, and I'm stranded without any money. Can you transfer some funds to this account: 2109 1098 6543 4321? Your quick response will be a lifesaver!",fraud
"Hey, it's me! I got into a tough spot and need your help urgently. Can you send me money right away? I'll explain everything later. Thanks for being there for me! Send funds to account: 1234567890.",fraud
"Hi, it's your friend here. I'm stuck in a foreign country and lost my wallet. Can you please send me money for a return ticket? I really need your support! Send funds to account: 9876543210.",fraud
"Hey, it's me. My WhatsApp got hacked, and I need your help to recover it. Can you please send me the verification code you receive? Thanks for helping me out! Code: 654321.",fraud
"Hi, it's your loved one here. My phone got stolen, and I need your verification code to set up a new WhatsApp account. Please send it as soon as possible! Code: 123456.",fraud
"Hey, it's your friend here. I lost my phone, and I can't access my WhatsApp. Can you please send me your verification code? It's really urgent! Code: 789012.",fraud
"Hi, it's me. I'm in a difficult situation and need your financial help. Can you send me money to this account: 9876543210? Thanks for understanding!",fraud
"Hey, it's me! I'm in trouble and need money urgently. Can you please send me funds to this account: 1234567890? Your support is crucial!",fraud
"Hi, it's your loved one here. I'm facing an emergency and need your help. Can you please send funds to this account: 7890123456? Thank you for being there for me!",fraud
"Hey, it's your friend here. I'm stuck abroad and need money for an urgent situation. Can you please send it to this account: 2345678901? Your help is appreciated!",fraud
"Hi, it's me. My WhatsApp got compromised, and I need your verification code to secure it. Can you please send it to me urgently? Code: 456789.",fraud
"Hey, it's your loved one here. I'm facing a challenging situation and need your help. Can you please send me money right away? Your kindness will make a big difference! Account: 8901234567.",fraud
"Hi, it's your friend here. I'm stranded in a remote location and need money for emergency expenses. Can you please send it to this account: 3456789012? Your assistance is crucial!",fraud
"Hey, it's me! I urgently need financial help. Can you please send me funds to this account: 6789012345? I truly appreciate your immediate response!",fraud
"Hi, it's your loved one here. My phone got stolen, and I need your verification code to set up a new WhatsApp account. Please send it quickly so I can stay connected! Code: 890123.",fraud
"Hey, it's your friend. I'm facing a tough situation and need some money urgently. Can you please send me funds to this account: 1234567890? Your support will make a big difference!",fraud
"Hi, it's me. I'm in a challenging situation and need your financial assistance. Can you send me money to this account: 2345678901? Thank you for helping me out!",fraud
"Hey, it's your loved one here. I'm in a difficult spot and need money to resolve an urgent issue. Can you please send it right away? Your quick action is appreciated! Account: 5678901234.",fraud
"Hi, it's your friend. My WhatsApp account got hacked, and I need your verification code to recover it. Can you please send it urgently so I can secure my account? Code: 567890.",fraud
"Hey, it's me! I got into a tough spot and need your help urgently. Can you send me money right away? I'll explain everything later. Thanks for being there for me! Account: 8901234567.""",fraud
"Hi, it's your loved one here. I'm stuck in a foreign country and lost my wallet. Can you please send me money for a return ticket? I really need your support! Account: 2345678901.",fraud
"Hey, it's me. My WhatsApp got hacked, and I need your help to recover it. Can you please send me the verification code you receive? Thanks for helping me out! Code: 345678.",fraud
"Hi, it's your friend here. I lost my phone, and I can't access my WhatsApp. Can you please send me your verification code? It's really urgent! Code: 789012.",fraud
"Hey, it's me! I'm in trouble and need money urgently. Can you please send me funds to this account: 1234567890? Your support is crucial!",fraud
"Hi, it's your loved one here. I'm facing an emergency and need your help. Can you please send funds to this account: 7890123456? Thank you for being there for me!",fraud
"Hey, it's your friend here. I'm stuck abroad and need money for an urgent situation. Can you please send it to this account: 2345678901? Your help is appreciated!",fraud
"Hi, it's me. My WhatsApp got compromised, and I need your verification code to secure it. Can you please send it to me urgently? Code: 456789.",fraud
"Hey, it's your loved one here. I'm facing a challenging situation and need your help. Can you please send me money right away? Your kindness will make a big difference! Account: 8901234567.",fraud
"Hi, it's your friend here. I'm stranded in a remote location and need money for emergency expenses. Can you please send it to this account: 3456789012? Your assistance is crucial!",fraud
"Hey, it's me! I urgently need financial help. Can you please send me funds to this account: 6789012345? I truly appreciate your immediate response!",fraud
"Hi, it's your loved one here. My phone got stolen, and I need your verification code to set up a new WhatsApp account. Please send it quickly so I can stay connected! Code: 890123.",fraud
Congratulations! You've won $1 million in Mega Millions! Pay a small fee to claim your prize now.,fraud
"Claim your Mega Millions prize of $500,000 and a luxury car! Send a processing fee to get your winnings.",fraud
Your phone number has been selected as the Mega Millions winner. Pay $500 to receive your $2 million cash prize.,fraud
Get ready to receive $5 million from Mega Millions! Pay a fee to process your winnings.,fraud
Special offer from Mega Millions! Pay a small fee and get a chance to win $10 million!,fraud
"Congratulations! You've been chosen as a Mega Millions jackpot winner. Pay $1,000 to claim your $50,000 prize.",fraud
"Claim your Mega Millions prize of $100,000! Pay a fee to receive your winnings.",fraud
Mega Millions is giving away $1 million to lucky winners. Pay a processing fee to claim your prize.,fraud
Act now and claim your $1 million prize from Mega Millions! Pay a fee to process your winnings.,fraud
"Congratulations! You've won $500,000 in Mega Millions. Pay a small fee to get your cash reward.",fraud
"Get your share of the Mega Millions jackpot! Pay $1,000 to receive your $100,000 prize.",fraud
Claim your Mega Millions winnings of $2 million! Pay a fee to receive your cash and car prize.,fraud
Special promotion from Mega Millions! Pay a small fee to win $5 million instantly!,fraud
Your phone number has been selected as the Mega Millions winner. Pay $500 to receive your $1 million cash prize.,fraud
Get ready to receive $10 million from Mega Millions! Pay a fee to process your winnings.,fraud
"Congratulations! You've been chosen as a Mega Millions jackpot winner. Pay $1,000 to claim your $25,000 prize.",fraud
"Claim your Mega Millions prize of $50,000! Pay a fee to receive your winnings",fraud
"Mega Millions is giving away $500,000 to lucky winners. Pay a processing fee to claim your prize.",fraud
"You've won a brand new car and $25,000 in Mega Millions! Pay a small fee to get your rewards.",fraud
"Act now and claim your $500,000 prize from Mega Millions! Pay a fee to process your winnings.",fraud
"Congratulations! You've won $100,000 in Mega Millions. Pay a small fee to get your cash reward.",fraud
"Get your share of the Mega Millions jackpot! Pay $1,000 to receive your $50,000 prize.",fraud
Claim your Mega Millions winnings of $1 million! Pay a fee to receive your cash and car prize.,fraud
Special promotion from Mega Millions! Pay a small fee to win $2 million instantly!,fraud
Your phone number has been selected as the Mega Millions winner. Pay $500 to receive your $5 million cash prize.,fraud
Get ready to receive $25 million from Mega Millions! Pay a fee to process your winnings.,fraud
"Congratulations! You've been chosen as a Mega Millions jackpot winner. Pay $1,000 to claim your $10,000 prize.",fraud
"Claim your Mega Millions prize of $10,000! Pay a fee to receive your winnings.",fraud
"Mega Millions is giving away $100,000 to lucky winners. Pay a processing fee to claim your prize.",fraud
"You've won a brand new car and $10,000 in Mega Millions! Pay a small fee to get your rewards.",fraud
"Act now and claim your $500,000 prize from Mega Millions! Pay a fee to process your winnings.",fraud
"Congratulations! You've won $50,000 in Mega Millions. Pay a small fee to get your cash reward.",fraud
"Get your share of the Mega Millions jackpot! Pay $1,000 to receive your $20,000 prize.",fraud
"Claim your Mega Millions winnings of $500,000! Pay a fee to receive your cash and car prize.",fraud
Special promotion from Mega Millions! Pay a small fee to win $1 million instantly!,fraud
Your phone number has been selected as the Mega Millions winner. Pay $500 to receive your $2.5 million cash prize.,fraud
Get ready to receive $15 million from Mega Millions! Pay a fee to process your winnings.,fraud
"Congratulations! You've been chosen as a Mega Millions jackpot winner. Pay $1,000 to claim your $15,000 prize.",fraud
"Claim your Mega Millions prize of $15,000! Pay a fee to receive your winnings.",fraud
"Congratulations! You've won a big contest prize! To claim your money, scan this QR code now.",fraud
Claim your prize money now! Scan this QR code to receive your winnings instantly.,fraud
Get ready to receive a huge cash prize! Simply scan this QR code to claim your winnings.,fraud
Exciting news! You've won in a contest. Scan this QR code to get your prize money.,fraud
Your contest winnings are waiting! Scan this QR code to receive your cash reward.,fraud
Congratulations! You're a lucky contest winner. Scan this QR code to claim your prize.,fraud
Claim your contest prize money now! Scan this QR code to get your winnings.,fraud
Great news! You're a winner. Scan this QR code to receive your cash prize.,fraud
Get your contest winnings now! Scan this QR code to claim your money.,fraud
Your prize money is just a scan away! Scan this QR code to receive your winnings.,fraud
Congratulations! You've won a big contest. Scan this QR code to get your prize.,fraud
Claim your contest prize money now! Scan this QR code to receive your cash reward.,fraud
Exciting news! You're a lucky contest winner. Scan this QR code to claim your prize.,fraud
Your contest winnings are waiting! Scan this QR code to get your winnings.,fraud
Congratulations! You're a winner. Scan this QR code to receive your cash prize.,fraud
"Hello, this is WhatsApp Support. We need to verify your identity. Please share the 6-digit verification code you just received.",fraud
Attention! You've been selected for verification. Kindly provide the 6-digit code sent to your phone.,fraud
Your account requires verification. Please share the 6-digit code to complete the process.,fraud
"WhatsApp Tech Support here. To keep your account secure, please share the 6-digit verification code.",fraud
"Verification alert! For security reasons, we need the 6-digit code sent to your number.",fraud
"Dear user, there is an issue with your account. Please provide the 6-digit verification code for resolution.",fraud
Your account needs verification. Share the 6-digit code you received to continue using WhatsApp.,fraud
Attention! A security check is in progress. Kindly provide the 6-digit code sent to your number.,fraud
WhatsApp Support Team requires a 6-digit verification code from you. Please share it promptly.,fraud
Verify your identity now! Share the 6-digit code sent to your phone for account security.,fraud
"Hello! We're from WhatsApp Support. To proceed, share the 6-digit verification code.",fraud
Your account safety is our priority. Provide the 6-digit code for verification.,fraud
Verification needed! Kindly share the 6-digit code sent to your phone for security reasons.,fraud
WhatsApp Security Check initiated. Provide the 6-digit code to prevent account issues.,fraud
Important! We need to verify your identity. Please share the 6-digit code received via SMS.,fraud
Your account has been flagged for verification. Share the 6-digit code for account recovery.,fraud
Verify your WhatsApp account by sharing the 6-digit code received. Keep your account secure!,fraud
Attention! Your account needs verification. Share the 6-digit code to avoid any disruptions.,fraud
WhatsApp Support requires your assistance. Share the 6-digit verification code for security.,fraud
Your account is under verification. Provide the 6-digit code to proceed with account recovery.,fraud
Verify your identity! Share the 6-digit code to ensure the security of your account.,fraud
"Hello, this is WhatsApp Support Team. We need to confirm your identity. Share the 6-digit code received.",fraud
Important alert! Your account requires verification. Provide the 6-digit code for resolution.,fraud
Verification in progress! Share the 6-digit code sent to your phone for security purposes.,fraud
Your account needs immediate verification. Kindly provide the 6-digit code to avoid any issues.,fraud
WhatsApp Support is here to assist you. Share the 6-digit verification code for account security.,fraud
"Hello, this is WhatsApp Tech Support. Provide the 6-digit code to complete the verification process.",fraud
Verification check initiated. Share the 6-digit code sent to your number for account safety.,fraud
Your account is temporarily locked. Share the 6-digit code to unlock it.,fraud
Verification alert! We need the 6-digit code sent to your phone for account verification.,fraud
Your account needs immediate attention. Share the 6-digit code to proceed with verification.,fraud
WhatsApp Support requires your cooperation. Share the 6-digit verification code for account safety.,fraud
Hello! Your account needs verification. Provide the 6-digit code for account recovery.,fraud
Attention! Your account security check is pending. Share the 6-digit code to complete the process.,fraud
Verification is necessary for your account. Kindly share the 6-digit code sent to your phone.,fraud
Your account safety is our priority. Share the 6-digit code to ensure its security.,fraud
Verification needed! Please share the 6-digit code for account recovery.,fraud
"Hello, we're from WhatsApp Support. Share the 6-digit verification code to keep your account secure.",fraud
Important alert! Your account requires a 6-digit code for verification. Share it now!,fraud
Verify your identity now! Share the 6-digit code received via SMS.,fraud
Urgent Action Required: Your bank account will be blocked if you don't update your PAN card details. Click here to update now: http://example.com/dfh38sdf.,fraud
Attention! Your account is at risk of being blocked. Verify your PAN card details immediately: http://example.com/dfg29fnd.,fraud
Important Alert: Your bank account may be suspended. Update your PAN card information now: http://example.com/kjfs83gd.,fraud
"Action Required: To avoid account suspension, update your PAN card details here: http://example.com/f9eikdn2.",fraud
Immediate Action Needed: Failure to update PAN card details may lead to account closure. Update now: http://example.com/als92jfe.,fraud
Your bank account is in danger of suspension. Verify your PAN card details without delay: http://example.com/loa9kcn2.,fraud
Account Alert: Update your PAN card details to avoid potential account closure. Click here: http://example.com/29fkodsl.,fraud
Urgent Notice: Your bank account might get blocked. Verify your PAN card details immediately: http://example.com/kl29snsd.,fraud
Important: Your bank account could be suspended. Verify your PAN card information now: http://example.com/d8jfksn3.,fraud
Attention! Update your PAN card details to prevent account suspension: http://example.com/fn92jdnf.,fraud
Action Required: Protect your account from suspension by updating your PAN card information: http://example.com/dnf29nd2.,fraud
Immediate Action Needed: Verify your PAN card details to prevent account closure: http://example.com/kl93jsad.,fraud
Your bank account is at risk. Update your PAN card details immediately: http://example.com/kl93jnda.,fraud
Account Alert: Update your PAN card details to avoid potential account closure. Click here: http://example.com/8nf9edn2.,fraud
Urgent Alert: Failure to update PAN card details may result in account suspension. Click to update: http://example.com/dnd28sd.,fraud
Important Message: Your bank account could be blocked. Verify your PAN card information now: http://example.com/dnf93snd.,fraud
Attention! Your account is at risk of being blocked. Verify your PAN card details immediately: http://example.com/lns93dj2.,fraud
"Action Required: To avoid account suspension, update your PAN card details here: http://example.com/dfk93snd.",fraud
Immediate Action Needed: Failure to update PAN card details may lead to account closure. Update now: http://example.com/kl3jndn.,fraud
Your bank account is in danger of suspension. Verify your PAN card details without delay: http://example.com/kl93snd.,fraud
Account Alert: Update your PAN card details to avoid potential account closure. Click here: http://example.com/8djs93nd.,fraud
Urgent Notice: Your bank account might get blocked. Verify your PAN card details immediately: http://example.com/dfj93snd.,fraud
Important: Your bank account could be suspended. Verify your PAN card information now: http://example.com/kl93snsd.,fraud
Attention! Update your PAN card details to prevent account suspension: http://example.com/kl93snd.,fraud
Action Required: Protect your account from suspension by updating your PAN card information: http://example.com/8jnf93nd.,fraud
Immediate Action Needed: Verify your PAN card details to prevent account closure: http://example.com/8jf93snd.,fraud
Your bank account is at risk. Update your PAN card details immediately: http://example.com/k39sndj.,fraud
Account Alert: Update your PAN card details to avoid potential account closure. Click here: http://example.com/dnf92snd.,fraud
Urgent Alert: Failure to update PAN card details may result in account suspension. Click to update: http://example.com/kl93snsd.,fraud
Important Message: Your bank account could be blocked. Verify your PAN card information now: http://example.com/ldk93snd.,fraud
Urgent Action Required: Your bank account will be blocked if you don't update your PAN card details. Click here to update now: http://example.com/dnf93nd.,fraud
Attention! Your account is at risk of being blocked. Verify your PAN card details immediately: http://example.com/kl93snd.,fraud
Important Alert: Your bank account may be suspended. Update your PAN card information now: http://example.com/kl3jnd.,fraud
"Action Required: To avoid account suspension, update your PAN card details here: http://example.com/dnf93s.",fraud
Immediate Action Needed: Failure to update PAN card details may lead to account closure. Update now: http://example.com/kl93snd.,fraud
Your bank account is in danger of suspension. Verify your PAN card details without delay: http://example.com/kl93s.,fraud
Account Alert: Update your PAN card details to avoid potential account closure. Click here: http://example.com/kl93snd.,fraud
Urgent Notice: Your bank account might get blocked. Verify your PAN card details immediately: http://example.com/kl93snd.,fraud
Important: Your bank account could be suspended. Verify your PAN card information now: http://example.com/kl93snd.,fraud
Attention! Update your PAN card details to prevent account suspension: http://example.com/kl93snd.,fraud
Your bank account will be suspended unless you update your KYC details by calling 1234567890.,fraud
Congratulations! You have won Rs.10 lakhs in Amazon Lucky Draw. Call 2345678901 to claim your prize.,fraud
Avail 1GB free data by updating your Airtel number on airtel.com/update.,fraud
An insurance claim of Rs.2 lakhs is pending on your life insurance policy. Call 3456789012 to process it.,fraud
Your PAN card will be blocked within 24 hours. Update your details by calling 5678901234.,fraud
Your credit card has been blocked for suspicious activity outside your city. Call 7890123456 to reactivate.,fraud
"You are eligible for an income tax refund of Rs.30,000. Submit your bank details on www.incometaxindia.gov/refund",fraud
A complaint has been registered against you by XYZ Bank for fraud. Call 9012345678 to resolve immediately.,fraud
Update your passport details by calling 2345678901 to avoid cancellation.,fraud
Your voter ID will be cancelled within 2 days. Call 3456789012 to update address change.,fraud
Your HDFC Bank account has been temporarily suspended. Call 5678901234 to reactivate immediately.,fraud
You have won a Maruti Suzuki Alto car in a lucky draw contest. Call 7890123456 to claim your prize.,fraud
"An OTP has been sent to your number to activate a new credit card in your name. If not you, call 9012345678 immediately.",fraud
Your SBI credit card has been blocked. Call 2345678901 and provide one-time password to reactivate.,fraud
"You have been allotted a Rs.50 lakh housing loan. Pay Rs.10,000 processing fee to claim the offer.",fraud
An urgent update is required for your PAN card to avoid penalties. Call 7890123456 now.,fraud
Your LIC policy will be cancelled within 48 hours. Call 9012345678 to update address change.,fraud
Your Axis Bank net banking has been temporarily suspended. Call 2345678901 to reactivate immediately.,fraud
You have won an iPhone 13 in an Amazon quiz contest. Call 5678901234 to claim your prize.,fraud
"Pay Rs.2,000 immediately to avoid disconnection of your BSNL broadband connection.",fraud
Your Citi Bank credit card has been blocked. Provide one-time password to 9012345678 to reactivate.,fraud
You have been pre-approved for a gold loan of Rs.10 lakhs. Call 2345678901 to activate the offer.,fraud
Your bank account will be suspended unless you update your KYC details by calling 3456789012.,fraud
Congratulations! You have won Rs.10 lakhs in Amazon Lucky Draw. Call 7890123456 to claim your prize.,fraud
"An OTP has been sent to your number to activate a new SIM card. If not you, call 5678901234 immediately.",fraud
An insurance claim of Rs.2 lakhs is pending on your life insurance policy. Call 2345678901 to process it.,fraud
Your PAN card will be blocked within 24 hours. Update your details by calling 9012345678.,fraud
Your credit card has been blocked for suspicious activity outside your city. Call 5678901234 to reactivate,fraud
"You are eligible for an income tax refund of Rs.30,000. Submit your bank details on www.incometaxindia.gov/refund",fraud
Update your passport details by calling 2345678901 to avoid cancellation.,fraud
Your voter ID will be cancelled within 2 days. Call 9012345678 to update address change.,fraud
Your HDFC Bank account has been temporarily suspended. Call 5678901234 to reactivate immediately.,fraud
You have won a Maruti Suzuki Alto car in a lucky draw contest. Call 7890123456 to claim your prize.,fraud
Your SBI credit card has been blocked. Call 2345678901 and provide one-time password to reactivate.,fraud
"You have been allotted a Rs.50 lakh housing loan. Pay Rs.10,000 processing fee to claim the offer.",fraud
Your LIC policy will be cancelled within 48 hours. Call 9012345678 to update address change.,fraud
Your Citi Bank credit card has been blocked. Provide one-time password to 9012345678 to reactivate.,fraud
Your bank account will be suspended unless you update your KYC details by calling 3456789012.,fraud
Congratulations! You have won Rs.10 lakhs in Amazon Lucky Draw. Call 7890123456 to claim your prize.,fraud
"An OTP has been sent to your number to activate a new SIM card. If not you, call 5678901234 immediately.",fraud
An insurance claim of Rs.2 lakhs is pending on your life insurance policy. Call 2345678901 to process it.,fraud
Your SBI credit card has been blocked. Call 2345678901 and provide one-time password to reactivate.,fraud
"You have been allotted a Rs.50 lakh housing loan. Pay Rs.10,000 processing fee to claim the offer.",fraud
An urgent update is required for your PAN card to avoid penalties. Call 7890123456 now.,fraud
Your LIC policy will be cancelled within 48 hours. Call 9012345678 to update address change.,fraud
Your Axis Bank net banking has been temporarily suspended. Call 2345678901 to reactivate immediately.,fraud
You have won an iPhone 13 in an Amazon quiz contest. Call 5678901234 to claim your prize.,fraud
Your Citi Bank credit card has been blocked. Provide one-time password to 9012345678 to reactivate.,fraud
You have been pre-approved for a gold loan of Rs.10 lakhs. Call 2345678901 to activate the offer.,fraud
Your bank account will be suspended unless you update your KYC details by calling 3456789012.,fraud
Congratulations! You have won Rs.10 lakhs in Amazon Lucky Draw. Call 7890123456 to claim your prize.,fraud
An insurance claim of Rs.2 lakhs is pending on your life insurance policy. Call 2345678901 to process it.,fraud
"Invest Rs.50,000 and earn 20% monthly returns guaranteed from our cutting-edge stock market trading algorithms.",fraud
Limited time offer! Invest in our forex trading fund and get up to 30% annual returns. 100% safe and secure trading with a proven track record,fraud
Earn up to 50% returns in 3 months by investing in our carefully curated crypto trading portfolio. Minimum investment Rs.1 lakh only.,fraud
"Double your money in 6 months by subscribing to our expert stock market tips service. Get lifetime access for only Rs.10,000.",fraud
Limited slots available! Invest Rs.5 lakh and receive monthly payouts of Rs.1 lakh for 1 year from our highly profitable forex trading strategies.,fraud
Earn up to 70% returns in 1 year by investing in our proprietary investment fund. Minimum investment Rs.25 lakhs for exclusive benefits.,fraud
"Invest Rs.10,000 and get a Rs.20,000 cashback voucher on Amazon next month through our expertly crafted stock tips.",fraud
Limited period offer! Invest Rs.1 crore and earn Rs.1 crore in 1 year flat with our highly successful forex trading strategies.,fraud
Earn up to 100% returns in 6 months by investing in our crypto index fund. Minimum buy-in Rs.50 lakhs for substantial growth potential.,fraud
Double your money in 3 months. Invest Rs.2 lakhs in our hand-picked stock market trading portfolio and watch it grow.,fraud
"Invest Rs.25,000 and get Rs.50,000 cash in 2 months from our expert forex trading signals service. Seize this opportunity now!",fraud
Earn up to 200% returns in 1 year by joining our exclusive crypto trading club. Minimum buy-in Rs.10 lakhs for incredible profits.,fraud
"Get up to 60% returns every month by subscribing to our stock market VIP access service. Lifetime membership at just Rs.50,000.",fraud
Limited time offer! Invest Rs.5 crore and earn Rs.10 crore in 2 years flat with our high yield investment program. Don't miss out!,fraud
Earn up to 500% returns in 1 year by investing in our exclusive crypto investment fund. Minimum buy-in Rs.1 crore for significant gains.,fraud
Invest Rs.1 lakh and enjoy a guaranteed 10% monthly return from our revolutionary trading strategies.,fraud
Special offer for early investors! Invest Rs.10 lakhs and receive a bonus of Rs.2 lakhs in 6 months from our forex trading fund.,fraud
"Get on board our crypto profit train! Invest Rs.50,000 and see your investment grow by 300% in 9 months.",fraud
Limited slots left! Invest Rs.20 lakhs in our stock market fund and get a 15% return every quarter.,fraud
Earn up to 150% returns in 2 years by investing in our carefully managed crypto portfolio. Minimum buy-in Rs.5 lakhs.,fraud
Invest Rs.1 crore and get a luxury vacation package worth Rs.5 lakhs as a bonus from our forex trading program.,fraud
Exclusive opportunity! Invest Rs.15 lakhs and earn a guaranteed 25% return in 1 year from our expert stock market picks.,fraud
Double your investment in just 4 months! Invest Rs.3 lakhs in our high-performing forex trading fund.,fraud
"Join our crypto success club! Invest Rs.75,000 and get up to 50% returns in 6 months.",fraud
Invest Rs.50 lakhs and get a chance to win a luxury car in our stock market investment promotion.,fraud
"High returns, low risk! Invest Rs.2 crores and earn 12% annual returns from our well-diversified investment portfolio.",fraud
Invest Rs.5 lakhs in our crypto trading program and receive a 20% bonus after 3 months.,fraud
Unlock the potential of your money! Invest Rs.8 lakhs in our forex fund and enjoy 18% annual returns.,fraud
"Invest Rs.30,000 and get a complimentary gold coin with guaranteed monthly returns from our stock market investment plan.",fraud
Join the elite investors club! Invest Rs.2 crores and get access to exclusive investment opportunities with high returns.,fraud
Limited time offer! Invest Rs.1 lakh and earn 30% returns in 3 months from our crypto trading strategies.,fraud
Invest Rs.10 lakhs and receive a free vacation package to a luxurious destination with our forex investment plan.,fraud
Double your wealth with our expert guidance! Invest Rs.1 crore in our stock market portfolio and watch your money grow.,fraud
Special bonus for early investors! Invest Rs.50 lakhs and receive an additional 5% return on your investment.,fraud
Invest Rs.3 lakhs and get a chance to win a brand new smartphone through our crypto investment scheme.,fraud
"Invest Rs.25,000 and get a 15% cashback on your investment after 6 months from our forex trading program.",fraud
Limited slots available! Invest Rs.15 lakhs and get a guaranteed 20% return on your investment within 1 year.,fraud
"Join our winning team! Invest Rs.75,000 and earn up to 40% returns in 9 months from our stock market picks.",fraud
Invest Rs.2 crores and get exclusive access to our top-performing crypto investment fund.,fraud
Take control of your financial future! Invest Rs.5 lakhs and get personalized investment advice from our team of experts.,fraud
"Urgent Notice: Your electricity bill payment of Rs. 5,000 is pending. Call 1234567890 now to avoid disconnection.",fraud
ALERT: Your electricity bill is overdue. Call 9876543210 immediately to avoid service suspension.,fraud
IMPORTANT: Your electricity connection is at risk! Call 5554443332 now to make the payment and prevent disconnection.,fraud
"Your electricity payment of Rs. 3,200 is pending. Call 1112223334 urgently to avoid power cutoff.",fraud
WARNING: Your electricity bill is overdue. Call 9876543210 immediately to avoid service suspension.,fraud
ACTION REQUIRED: Your electricity connection is under threat! Call 1234567890 now to settle the pending payment.,fraud
NOTICE: Your electricity bill payment is due. Call 5554443332 now to prevent service interruption.,fraud
"CRITICAL: Your electricity bill of Rs. 4,500 is overdue. Call 1112223334 urgently to avoid disconnection.",fraud
URGENT NOTICE: Your electricity payment is pending. Call 9876543210 now to avoid disconnection.,fraud
ALERT: Your electricity bill is overdue. Call 1234567890 immediately to avoid service suspension.,fraud
IMPORTANT: Your electricity connection is at risk! Call 5554443332 now to make the payment and prevent disconnection.,fraud
"Your electricity payment of Rs. 3,800 is pending. Call 1112223334 urgently to avoid power cutoff.",fraud
WARNING: Your electricity bill is overdue. Call 9876543210 immediately to avoid service suspension.,fraud
ACTION REQUIRED: Your electricity connection is under threat! Call 1234567890 now to settle the pending payment.,fraud
NOTICE: Your electricity bill payment is due. Call 5554443332 now to prevent service interruption.,fraud
"CRITICAL: Your electricity bill of Rs. 4,200 is overdue. Call 1112223334 urgently to avoid disconnection.",fraud
URGENT NOTICE: Your electricity payment is pending. Call 9876543210 now to avoid disconnection.,fraud
ALERT: Your electricity bill is overdue. Call 1234567890 immediately to avoid service suspension.,fraud
IMPORTANT: Your electricity connection is at risk! Call 5554443332 now to make the payment and prevent disconnection.,fraud
"Your electricity payment of Rs. 4,700 is pending. Call 1112223334 urgently to avoid power cutoff.",fraud
 WARNING: Your electricity bill is overdue. Call 9876543210 immediately to avoid service suspension.,fraud
ACTION REQUIRED: Your electricity connection is under threat! Call 1234567890 now to settle the pending payment.,fraud
 NOTICE: Your electricity bill payment is due. Call 5554443332 now to prevent service interruption.,fraud
" CRITICAL: Your electricity bill of Rs. 3,600 is overdue. Call 1112223334 urgently to avoid disconnection.",fraud
URGENT NOTICE: Your electricity payment is pending. Call 9876543210 now to avoid disconnection.,fraud
ALERT: Your electricity bill is overdue. Call 1234567890 immediately to avoid service suspension.,fraud
IMPORTANT: Your electricity connection is at risk! Call 5554443332 now to make the payment and prevent disconnection.,fraud
"Your electricity payment of Rs. 5,200 is pending. Call 1112223334 urgently to avoid power cutoff.",fraud
